compiler,tag,flags,target,run,time_ms
gcc,gcc_O3_vec,"-O3 -ftree-vectorize",simd,5,50.000
gcc,gcc_O3_vec,"-O3 -ftree-vectorize",simd,6,50.000
gcc,gcc_O3_vec,"-O3 -ftree-vectorize",simd,7,50.000
gcc,gcc_O3_vec,"-O3 -ftree-vectorize",simd,8,50.000
gcc,gcc_O3_vec,"-O3 -ftree-vectorize",simd,9,50.000
gcc,gcc_O3_vec,"-O3 -ftree-vectorize",simd,10,50.000
gcc,gcc_O3_novec,"-O3 -fno-tree-vectorize",sisd,1,70.000
gcc,gcc_O3_novec,"-O3 -fno-tree-vectorize",sisd,2,70.000
gcc,gcc_O3_novec,"-O3 -fno-tree-vectorize",sisd,3,80.000
gcc,gcc_O3_novec,"-O3 -fno-tree-vectorize",sisd,4,70.000
gcc,gcc_O3_novec,"-O3 -fno-tree-vectorize",sisd,5,70.000
gcc,gcc_O3_novec,"-O3 -fno-tree-vectorize",sisd,6,80.000
gcc,gcc_O3_novec,"-O3 -fno-tree-vectorize",sisd,7,70.000
gcc,gcc_O3_novec,"-O3 -fno-tree-vectorize",sisd,8,70.000
gcc,gcc_O3_novec,"-O3 -fno-tree-vectorize",sisd,9,70.000
gcc,gcc_O3_novec,"-O3 -fno-tree-vectorize",sisd,10,70.000
gcc,gcc_O3_novec,"-O3 -fno-tree-vectorize",simd,1,60.000
gcc,gcc_O3_novec,"-O3 -fno-tree-vectorize",simd,2,60.000
gcc,gcc_O3_novec,"-O3 -fno-tree-vectorize",simd,3,60.000
gcc,gcc_O3_novec,"-O3 -fno-tree-vectorize",simd,4,60.000
gcc,gcc_O3_novec,"-O3 -fno-tree-vectorize",simd,5,60.000
gcc,gcc_O3_novec,"-O3 -fno-tree-vectorize",simd,6,60.000
gcc,gcc_O3_novec,"-O3 -fno-tree-vectorize",simd,7,60.000
gcc,gcc_O3_novec,"-O3 -fno-tree-vectorize",simd,8,70.000
gcc,gcc_O3_novec,"-O3 -fno-tree-vectorize",simd,9,60.000
gcc,gcc_O3_novec,"-O3 -fno-tree-vectorize",simd,10,60.000
gcc,gcc_O2_treevec,"-O2 -ftree-vectorize -march=native",sisd,1,70.000
gcc,gcc_O2_treevec,"-O2 -ftree-vectorize -march=native",sisd,2,70.000
gcc,gcc_O2_treevec,"-O2 -ftree-vectorize -march=native",sisd,3,70.000
gcc,gcc_O2_treevec,"-O2 -ftree-vectorize -march=native",sisd,4,70.000
gcc,gcc_O2_treevec,"-O2 -ftree-vectorize -march=native",sisd,5,70.000
gcc,gcc_O2_treevec,"-O2 -ftree-vectorize -march=native",sisd,6,70.000
gcc,gcc_O2_treevec,"-O2 -ftree-vectorize -march=native",sisd,7,70.000
gcc,gcc_O2_treevec,"-O2 -ftree-vectorize -march=native",sisd,8,70.000
gcc,gcc_O2_treevec,"-O2 -ftree-vectorize -march=native",sisd,9,70.000
gcc,gcc_O2_treevec,"-O2 -ftree-vectorize -march=native",sisd,10,70.000
gcc,gcc_O2_treevec,"-O2 -ftree-vectorize -march=native",simd,1,60.000
gcc,gcc_O2_treevec,"-O2 -ftree-vectorize -march=native",simd,2,60.000
gcc,gcc_O2_treevec,"-O2 -ftree-vectorize -march=native",simd,3,60.000
gcc,gcc_O2_treevec,"-O2 -ftree-vectorize -march=native",simd,4,80.000
gcc,gcc_O2_treevec,"-O2 -ftree-vectorize -march=native",simd,5,60.000
gcc,gcc_O2_treevec,"-O2 -ftree-vectorize -march=native",simd,6,60.000
gcc,gcc_O2_treevec,"-O2 -ftree-vectorize -march=native",simd,7,60.000
gcc,gcc_O2_treevec,"-O2 -ftree-vectorize -march=native",simd,8,60.000
gcc,gcc_O2_treevec,"-O2 -ftree-vectorize -march=native",simd,9,60.000
gcc,gcc_O2_treevec,"-O2 -ftree-vectorize -march=native",simd,10,60.000
gcc,gcc_Ofast_unroll_native,"-Ofast -funroll-loops -march=native -mtune=native",sisd,1,60.000
gcc,gcc_Ofast_unroll_native,"-Ofast -funroll-loops -march=native -mtune=native",sisd,2,50.000
